"Score","PostTypeId","ave_sentiment"
9,"2",-0.00607614340918849
12,"2",0.191977551030789
6,"1",0.136959065029358
9,"1",-0.0734762979623574
2,"1",0.0211027581177441
3,"2",0.230504194990126
11,"2",0.0393598785397234
15,"1",0.0875682614680386
12,"2",0.221744426835236
10,"2",0.0554707974924119
3,"1",0.16655634516025
1,"2",0.334147101732582
2,"1",0.352828945819332
5,"2",0.0610156070867589
1,"2",0.0739998527267928
4,"1",-0.0814948343490458
16,"1",0.109946319974352
15,"2",0.336215222017455
8,"2",0.13951030398144
19,"1",-0.111705097378138
9,"2",0.133244218861343
27,"2",0.107578439922046
12,"1",-0.0475753972003972
5,"2",-0.158194453401464
2,"2",-0.129446860453984
7,"1",-0.0896393831685982
3,"1",0.0922696398900951
7,"2",0.041095606048372
13,"1",0.165359975723305
0,"2",0.13660704966254
2,"2",0.111832520303869
5,"2",0.180152149648259
9,"1",-0.0998714948258365
7,"2",-0.0277342531184577
13,"2",0.0210454486547251
10,"2",0.0818699782219401
11,"1",0.256355978247759
6,"1",0.0675252382407703
2,"2",0.077671830153114
9,"2",-0.125001207031231
1,"2",0.125338477825626
6,"1",-0.0889472504669981
8,"1",-0.0276359704696848
5,"2",-0.0791804202243669
9,"2",0.119701094169499
10,"2",0.12053696390865
3,"2",0.0531540615895169
8,"2",0.0171676399727
7,"1",0.0794682098508814
9,"1",0.300351032655537
3,"2",-0.0758432514102484
1,"2",0.0422641684742986
10,"1",0.200405130096767
20,"1",0.227328964702549
3,"1",0.158624924629849
13,"2",0.173935649068534
5,"2",0.0750354171453988
1,"2",0.00642157123388766
20,"1",-0.015944284912907
3,"1",0.0957529552593197
21,"2",0.0217190921964807
15,"2",0.180869885561476
4,"1",-0.0403772696165794
3,"1",0.315515603496917
5,"2",0.0173602075213661
4,"2",0.0374479519499153
2,"1",0.0868599036215379
12,"1",0.181010660795406
6,"2",0.209549425927185
1,"2",0.0390336494186979
-4,"2",0
1,"1",0
4,"2",0.0470345622048138
8,"1",-0.0936486153227117
8,"1",0.0464624236328686
13,"2",-0.151826786017445
2,"1",-0.268678063123115
1,"1",-0.0129687909595843
3,"2",0.176955896696719
15,"2",0.259722116236308
7,"2",-0.142307666421266
0,"2",-0.0418092578925539
6,"2",0.0271317169803244
5,"1",0.264528328738217
-5,"2",0.0673397495675573
-3,"2",0.0834782172641751
12,"1",0.289936175439785
2,"1",0.08
3,"2",-0.162373364197538
3,"2",0.216676911557721
4,"1",0.0750300483247823
9,"2",-0.0254238630040218
4,"1",-0.143568410129846
8,"2",-0.0979222708749854
-1,"2",0.0812997838620037
2,"1",-0.0398396308672301
8,"2",0.0234200495906289
6,"2",-0.09663540982278
3,"1",-0.0302216132558739
3,"1",-0.104465546001709
7,"1",0.00150160899633731
5,"2",0.031651094601284
6,"2",-0.332063165316003
-4,"1",0.0784835640644914
2,"2",-0.0478537797452479
-2,"2",-0.00294039209829565
1,"2",0.171940534231365
25,"1",0.0659186920106578
22,"2",0.0569298074406823
2,"2",-0.0750130016975862
6,"2",0.198590699757533
2,"1",0.314049011281878
4,"1",0.189885065311017
6,"2",0.258168240446888
11,"1",0.134860433215897
5,"1",-0.0151161182523068
5,"1",0.210267575860072
3,"1",0.057437458137797
16,"1",-0.308316291476971
1,"1",0.112922649462495
4,"2",0.12045383285064
3,"2",0.0942820839325463
6,"2",0.207619478573324
-3,"2",-0.0315532306885604
5,"2",0.257709431913649
-2,"2",-0.0129189689260786
1,"1",0.0439847347861922
29,"1",0.112557439478392
2,"2",0.515542522183751
9,"1",-0.00397963664135968
2,"1",0.242081716649839
6,"2",0.18292409340602
15,"2",0.309673813076613
3,"1",-0.269410776015827
5,"2",-0.022162693598379
12,"2",0.113284106350324
2,"2",0.10192724622693
1,"2",-0.0522717154438945
3,"1",0.524406552345465
5,"1",-0.0768243218284526
6,"2",0.0311821971790098
3,"2",0.192519351063001
2,"1",0.320227218540292
5,"2",0.195277297650767
1,"1",0.209579243368969
5,"2",0.158759656686913
-3,"1",0
3,"2",-0.082562854461076
8,"1",0.0290619096859548
9,"2",0.121684802700118
8,"2",-0.236719276034722
3,"1",0.0924116485188946
1,"2",-0.0117018017122804
-1,"1",-0.0541265877365274
5,"1",0.113577256811746
15,"2",0.0887493141379312
4,"2",-0.10851448846098
3,"1",0.140635987615753
1,"2",-0.0573402896897328
3,"2",-0.0739794107082474
21,"1",0.069539773144322
30,"2",0.0651746431507417
2,"1",0.096027659949672
3,"2",0.134839972492648
9,"2",-0.0158105477261745
11,"1",-0.105576905283833
3,"1",-0.226841145744548
2,"2",0.307893376087832
8,"1",0.00713425002367519
8,"2",0.0177706557137662
5,"1",0.0753160535831158
9,"1",0.0859512926249492
3,"1",0.130753162619106
1,"2",0.0331422634713976
2,"1",0.140924954709682
6,"1",0.172888100545955
0,"2",0.147646499895138
9,"2",-0.158433368705761
2,"2",0.201487292478165
7,"1",0.318346557287751
8,"2",0.102823414142934
5,"1",0.148615679309918
2,"1",-0.251728262543387
3,"1",0.0135415127965034
5,"2",0.295669832064303
6,"2",-0.242609539070468
-1,"1",-0.160866447357107
1,"2",-0.114145307222534
5,"1",0.234468439457843
15,"1",0.286596828413721
28,"2",0.0875670355557539
1,"2",0.139044127816155
22,"1",0.0263380382447815
3,"2",0.0136244208902522
4,"2",0.0902314936545105
39,"2",0.0259333725188071
4,"2",0.211698954575645
-1,"2",-0.204317312113003
6,"2",0.103483802956757
8,"2",-0.0613395084095992
2,"1",-0.172561169032264
4,"1",-0.125784471619216
3,"2",0.0485071250072666
6,"1",-0.11684912654844
5,"2",0.159785434893779
1,"1",0.0718288414333598
6,"1",-0.00671110048903581
1,"2",0.101258896900155
1,"2",0.127252531343053
0,"2",-0.030090314629102
25,"1",0.0307566188168424
3,"1",0.0149981250874122
3,"2",0.168131846593432
3,"2",0.226184125520038
3,"2",-0.160286919933935
1,"2",-0.0732115036753151
8,"2",0.59447972956806
2,"1",0.0281949856385836
2,"1",0.0901164534230431
4,"2",0.0756214656782315
6,"2",-0.0621448042741947
2,"2",0.00481288213139987
17,"2",-0.125108648434245
1,"1",0.170883146774112
3,"1",0.29148162628464
2,"2",0.205826386056608
19,"1",0.113201315644476
14,"2",-0.20592753689773
12,"2",-0.280250053824213
6,"2",0.0383045952250382
10,"1",0.161085597668325
1,"2",0.0179699888208326
4,"2",0.105623109603748
7,"2",-0.0141350184685919
1,"2",-0.354628879126096
2,"1",0.0695928915341362
-8,"2",0.0741425233543734
-5,"2",0.15341478984878
3,"1",0.322008300013989
11,"1",0.059080343518731
13,"2",0.0369822767430515
5,"2",-0.0581398099946962
2,"2",-0.0348311489707626
2,"2",0.027845530267389
4,"2",-0.00188186440985347
3,"1",0.0255188232544091
3,"1",-0.0522743276899577
5,"1",0.167650603002769
9,"1",0.322011647727417
7,"2",0.0378767006679493
-1,"2",0.0786586724610301
1,"2",-0.138528455091711
17,"1",0.12375273103321
4,"2",-0.00830258567328581
13,"2",-0.0852000833150742
7,"1",0.0841539754896031
2,"1",-0.0715980069744393
4,"2",0.294707765932175
15,"2",0.401465795679142
2,"2",-0.119274640662948
0,"7",0.175752146435636
4,"1",0.180139622976693
0,"2",0.0429830824743809
